id,reason_for_absence,month_of_absence,day_of_the_week,seasons,service_time,work_load_average_day,hit_target,absenteeism_bins,total_disciplinary_failures,cluster
11,26,7,3,1,13,239.554,97,"(2.0, 4.0]",2,2
11,23,7,5,1,13,239.554,97,"(-0.001, 2.0]",2,2
11,18,8,2,1,13,205.917,92,"(4.0, 8.0]",2,2
11,23,8,3,1,13,205.917,92,"(-0.001, 2.0]",2,2
11,18,8,4,1,13,205.917,92,"(4.0, 8.0]",2,2
11,24,8,3,1,13,205.917,92,"(4.0, 8.0]",2,2
11,26,10,4,4,13,253.465,93,"(4.0, 8.0]",2,2
11,7,11,4,4,13,306.345,93,"(20.0, 120.0]",2,2
11,18,1,3,2,13,308.593,95,"(4.0, 8.0]",2,2
11,22,1,5,2,13,308.593,95,"(2.0, 4.0]",2,2
11,22,2,6,2,13,302.585,99,"(4.0, 8.0]",2,2
11,6,3,5,2,13,343.2530000000001,95,"(4.0, 8.0]",2,2
11,19,4,3,3,13,326.452,96,"(4.0, 8.0]",2,2
11,13,4,5,3,13,326.452,96,"(8.0, 20.0]",2,2
11,13,5,4,3,13,378.884,92,"(4.0, 8.0]",2,2
11,13,5,4,3,13,378.884,92,"(20.0, 120.0]",2,2
11,26,7,4,1,13,275.312,98,"(4.0, 8.0]",2,2
11,19,7,2,1,13,275.312,98,"(20.0, 120.0]",2,2
11,19,7,5,1,13,275.312,98,"(4.0, 8.0]",2,2
11,19,8,6,1,13,265.615,94,"(4.0, 8.0]",2,2
11,23,8,2,1,13,265.615,94,"(-0.001, 2.0]",2,2
11,23,8,3,1,13,265.615,94,"(2.0, 4.0]",2,2
11,19,9,4,1,13,294.217,81,"(20.0, 120.0]",2,2
11,24,10,2,4,13,265.017,88,"(4.0, 8.0]",2,2
11,26,10,2,4,13,265.017,88,"(4.0, 8.0]",2,2
11,22,10,6,4,13,265.017,88,"(4.0, 8.0]",2,2
11,19,10,5,4,13,265.017,88,"(8.0, 20.0]",2,2
11,19,12,2,2,13,236.629,93,"(4.0, 8.0]",2,2
11,26,1,2,2,13,330.061,100,"(4.0, 8.0]",2,2
11,22,2,6,2,13,251.818,96,"(2.0, 4.0]",2,2
11,22,3,6,3,13,244.387,98,"(4.0, 8.0]",2,2
11,22,7,2,1,13,230.29,92,"(4.0, 8.0]",2,2
11,26,8,3,1,13,249.797,93,"(4.0, 8.0]",2,2
11,24,11,4,4,13,268.519,93,"(4.0, 8.0]",2,2
11,13,1,4,2,13,313.532,96,"(4.0, 8.0]",2,2
11,23,3,4,2,13,222.196,99,"(4.0, 8.0]",2,2
11,19,3,2,3,13,222.196,99,"(20.0, 120.0]",2,2
11,14,7,3,1,13,264.60400000000004,93,"(4.0, 8.0]",2,2
36,23,12,4,4,18,261.306,97,"(-0.001, 2.0]",6,1
36,23,4,5,3,18,326.452,96,"(-0.001, 2.0]",6,1
36,13,5,4,3,18,378.884,92,"(20.0, 120.0]",6,1
36,13,6,4,3,18,377.55,94,"(4.0, 8.0]",6,1
36,23,6,3,3,18,377.55,94,"(-0.001, 2.0]",6,1
36,13,6,4,3,18,377.55,94,"(20.0, 120.0]",6,1
36,1,7,4,1,18,275.312,98,"(4.0, 8.0]",6,1
36,13,8,5,1,18,265.615,94,"(2.0, 4.0]",6,1
36,23,8,5,1,18,265.615,94,"(-0.001, 2.0]",6,1
36,28,9,5,4,18,294.217,81,"(-0.001, 2.0]",6,1
36,28,10,3,4,18,265.017,88,"(-0.001, 2.0]",6,1
36,28,10,5,4,18,265.017,88,"(-0.001, 2.0]",6,1
36,23,10,5,4,18,265.017,88,"(-0.001, 2.0]",6,1
36,28,12,3,4,18,236.629,93,"(-0.001, 2.0]",6,1
36,26,1,2,2,18,330.061,100,"(2.0, 4.0]",6,1
36,23,3,6,3,18,244.387,98,"(-0.001, 2.0]",6,1
36,14,3,3,3,18,244.387,98,"(2.0, 4.0]",6,1
36,13,3,4,3,18,244.387,98,"(4.0, 8.0]",6,1
